synset_id,definition,eng,spa,jpn,fra,por,ita,pol,cmn,ind
33020,something that is communicated by or to or between people or groups,"[""communication""]","[""comunicación""]","[""コミニュケーション"", ""コミュニケイション"", ""コミュニケーション"", ""交通"", ""聯絡""]","[""communication""]","[""comunicação"", ""mensagem""]","[""comunicazione""]","[""komunikat""]","[""通讯"", ""通讯系统""]","[""hubungan"", ""komunikasi"", ""surat""]"
34213,any state or process known through the senses rather than by intuition or reasoning,"[""phenomenon""]","[""fenómeno""]","[""フェノメノン"", ""事象"", ""現象""]","[""phénomène""]","[""fenómeno"", ""fenômeno""]","[""fenomeno""]","[""zjawisko""]","[""现象""]","[""fenomena"", ""keajaiban""]"
35189,the action of accomplishing something,"[""accomplishment"", ""achievement""]","[""logro"", ""realización""]","[""入眼"", ""大成"", ""完成"", ""完遂"", ""成功""]","[""aboutissement"", ""accomplissement"", ""achèvement"", ""haut_fait"", ""ouvrage""]","[""conquista"", ""consumação"", ""façanha"", ""feito"", ""realização""]","[""affermazione"", ""attuamento"", ""attuazione"", ""concretizzazione"", ""conseguimento""]","[""dojście"", ""dopięcie_celu"", ""dopięcie_swego"", ""odniesienie"", ""osiągnięcie""]","[""完成"", ""成就""]","[""kejayaan"", ""pelaksanaan"", ""pemenuhan"", ""pencapaian"", ""penyelesaian""]"
39021,a mutual or reciprocal action; interacting,"[""interaction""]","[""interacción""]","[""インタラクション"", ""インターアクション"", ""交互作用"", ""相互作用""]","[""interaction""]","[""interação""]","[""interazione""]","[""interakcja""]","[""相互作用""]","[""interaksi""]"
39297,close interaction,"[""contact""]","[""contacto""]","[""コンタクト"", ""接触""]","[""contact""]","[""contato"", ""ligação""]","[""contatto""]","[""skontaktowanie""]","[""接触"", ""联系""]","[""berhubung"", ""hubung"", ""kontak"", ""menghubungi""]"
42757,the act of departing,"[""departure"", ""going"", ""going_away"", ""leaving""]","[""partida"", ""salida""]","[""出かけること"", ""出発"", ""出立"", ""出立ち"", ""去ること""]","[""départ""]","[""partida""]","[""dipartita"", ""partenza""]","[""odjazd""]","[""出发"", ""离开""]","[""berangkat"", ""bertolak"", ""keberangkatan"", ""kepergian"", ""pergi""]"
45907,the act of regaining or saving something lost (or in danger of becoming lost),"[""recovery"", ""retrieval""]","[""recuperación""]","[""取り戻すこと"", ""回復"", ""恢復""]","[""recouvrement"", ""reprise"", ""récupération""]","[""recuperação""]","[""riacquisto"", ""ricupero"", ""rinvenimento""]","[""odzysk""]","[""恢复""]","[""pemulihan""]"
50037,the act of enrolling,"[""registration"", ""enrollment"", ""enrolment""]","[""inscripción"", ""registro""]","[""登録"", ""記帳"", ""記載""]","[""enregistrement"", ""enrôlement"", ""immatriculation"", ""inscription"", ""recommandation""]","[""inscrição"", ""matricula"", ""matrícula"", ""registro""]","[""immatricolazione"", ""intestazione"", ""iscrizione"", ""matricolazione"", ""registrazione""]","[""registratura"", ""rejestracja"", ""zapis"", ""zapisy""]","[""入学"", ""招收"", ""注册"", ""登记""]","[""daftar"", ""pencatatan"", ""pendaftaran"", ""penyertaan""]"
51192,a coming to or returning home,"[""return"", ""homecoming""]","[""regreso"", ""vuelta""]","[""帰り"", ""帰国"", ""帰宅"", ""帰省"", ""帰還""]","[""retour""]","[""regresso"", ""retorno"", ""vinda"", ""volta""]","[""ritorno""]","[""powrót""]","[""回乡"", ""回来"", ""归国"", ""归来"", ""返回""]","[""balik"", ""kembali"", ""kepulangan""]"
70965,a wrong action attributable to bad judgment or ignorance or inattention,"[""mistake"", ""error"", ""fault""]","[""error"", ""fallo"", ""falta""]","[""ちょんぼ"", ""ミス"", ""ミステイク"", ""ミステーク"", ""事誤り""]","[""erreur"", ""faute""]","[""engano"", ""equívoco"", ""erro"", ""falha""]","[""colpa"", ""errore"", ""fallo"", ""mancanza"", ""marrone""]","[""omylenie_się"", ""pomylenie_się"", ""potknięcie_się""]","[""失误"", ""弄错"", ""错误""]","[""kekeliruan"", ""kekhilafan"", ""kesalahan"", ""khilaf"", ""ralat""]"
89351,getting something back again,"[""restitution"", ""return"", ""restoration"", ""regaining""]","[""devolución"", ""recuperación"", ""restauración"", ""restitución""]","[""償還"", ""戻し"", ""返上"", ""返付"", ""返却""]","[""restauration"", ""restitution"", ""retour""]","[""restituição"", ""retorno""]","[""resa"", ""restituzione"", ""riconsegna""]","[""restytucja""]","[""复原"", ""归还"", ""恢复"", ""送还""]","[""kembali"", ""kepulangan"", ""pampas"", ""pemulangan"", ""pemulihan""]"
97504,the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it,"[""performance"", ""execution"", ""carrying_out"", ""carrying_into_action""]","[""cumplimiento"", ""ejecución"", ""realización""]","[""実行""]","[""exécution""]","[""desempenho"", ""execução"", ""realização""]","[""effettuazione"", ""esecuzione"", ""eseguimento"", ""esplicazione"", ""performance""]","[""wykonawstwo""]","[""实行"", ""履行"", ""执行"", ""表现""]","[""pelaksanaan"", ""prestasi""]"
122661,the act of firing a projectile,"[""shooting"", ""shot""]","[""disparo"", ""tiro""]","[""射出"", ""射撃"", ""射的"", ""撃ち"", ""撃ち方""]","[""lancer"", ""tir""]","[""pontaria"", ""tiro""]","[""colpo""]","[""strzał"", ""wystrzał""]","[""发射"", ""射击"", ""开枪""]","[""berbedil-bedilan"", ""penembakan"", ""tembak"", ""tembak-menembak"", ""tembakan""]"
168658,the act of changing your residence or place of business,"[""move"", ""relocation""]","[""mudanza"", ""traslado""]","[""リロケーション"", ""住み替え"", ""再配置"", ""家移り"", ""引っ越し""]","[""délocalisation"", ""déménagement""]","[""mudança""]","[""sgomberatura"", ""traslocamento"", ""trasloco""]","[""przenosiny"", ""przeprowadzka""]","[""搬家"", ""搬迁"", ""迁居"", ""迁移""]","[""beralih"", ""berpindah"", ""boyong"", ""ganjak"", ""pemindahan""]"
172710,how a result is obtained or an end is achieved,"[""means"", ""agency"", ""way""]","[""camino"", ""forma"", ""manera"", ""modo""]","[""いたし方"", ""すべ"", ""やり口"", ""やり方"", ""仕方""]","[""façon"", ""manière"", ""mode"", ""moyen"", ""voie""]","[""caminho"", ""ferramenta"", ""jeito"", ""maneira"", ""meio""]","[""maniera"", ""mezzo"", ""modo""]","[""narzędzie"", ""środek""]","[""办法"", ""手段"", ""方式"", ""方法""]","[""cara"", ""ikhtiar"", ""jalan"", ""kuasa"", ""minhaj""]"
180413,the act of accepting with approval; favorable reception,"[""adoption"", ""acceptance"", ""acceptation"", ""espousal""]","[""aceptación"", ""adopción""]","[""受け入れ""]","[""abord"", ""acceptation"", ""admission"", ""adoption"", ""soutien""]","[""aceitação"", ""adopção"", ""adoção""]","[""accettazione"", ""accoglimento"", ""adesione"", ""adozione""]","[""akceptacja"", ""aprobata""]","[""接受"", ""认可"", ""采纳""]","[""penerimaan"", ""pengakuan""]"
183505,a choice that is made by counting the number of people in favor of each alternative,"[""vote"", ""ballot"", ""voting"", ""balloting""]","[""boleta_electoral"", ""voto""]","[""投票"", ""採決"", ""票"", ""票決"", ""表決""]","[""scrutin"", ""voix"", ""votation"", ""vote"", ""voter""]","[""eleição"", ""votação"", ""voto""]","[""votazione"", ""voto""]","[""głosowanie""]","[""投票"", ""投票选举"", ""抽签"", ""表决"", ""选举""]","[""mengundi"", ""pemungutan_suara"", ""pengundian"", ""undi"", ""undian""]"
198451,act of raising in rank or position,"[""promotion""]","[""promoción""]","[""出世"", ""取り立て"", ""取立て"", ""挙用"", ""昇任""]","[""promotion""]","[""ascenção"", ""promoção""]","[""promozione""]","[""awans""]","[""提升"", ""晋升""]","[""kenaikan_pangkat""]"
202284,the action of opposing something that you disapprove or disagree with,"[""resistance"", ""opposition""]","[""oposición"", ""resistencia""]","[""レジスタンス"", ""反対"", ""反撥"", ""反発"", ""手向かい""]","[""opposition"", ""résistance""]","[""oposição""]","[""resistenza""]","[""odpór"", ""opozycja"", ""opór"", ""protest"", ""sprzeciw""]","[""反对"", ""对抗"", ""对立"", ""抵制"", ""抵抗""]","[""bertentangan"", ""pembantahan"", ""penentangan"", ""perlawanan"", ""pertentangan""]"
203342,the act of rejecting something,"[""rejection""]","[""rechazo""]","[""お断り"", ""お断わり"", ""否決"", ""御断わり"", ""拒絶""]","[""refus"", ""rejet""]","[""rejeição""]","[""rigetto""]","[""odrzucenie""]","[""拒绝""]","[""enggan"", ""penolakan"", ""penyingkiran"", ""penyisihan"", ""tentangan""]"
220522,unlawful premeditated killing of a human being by a human being,"[""murder"", ""slaying"", ""execution""]","[""asesinato""]","[""人殺し"", ""故殺"", ""殺し"", ""殺人"", ""殺害""]","[""assassinat"", ""exécution"", ""meurtre""]","[""assassinato"", ""assassínio"", ""homicídio"", ""homicídio_doloso""]","[""assassinio"", ""omicidio"", ""uccisione""]","[""kładzenie_trupem"", ""mordowanie"", ""wykańczanie"", ""wykończanie"", ""zgładzanie""]","[""凶杀"", ""杀人"", ""杀戮"", ""谋杀""]","[""bunuh"", ""membunuh"", ""pembunuh"", ""pembunuhan""]"
239230,the first of a series of actions,"[""first_step"", ""initiative"", ""opening_move"", ""opening""]","[""iniciativa""]","[""オープニング"", ""第一手"", ""第一歩""]","[""initiative"", ""ouverture""]","[""iniciativa""]","[""iniziativa""]","[""zrobienie_pierwszego_kroku""]","[""倡议"", ""开始"", ""第一步""]","[""alpukah"", ""daya_usaha"", ""ikhtiar"", ""inisiatif"", ""pembukaan""]"
258854,the act of offering an improvement to replace a mistake; setting right,"[""correction"", ""rectification""]","[""corrección"", ""rectificación""]","[""修正"", ""修繕"", ""修訂"", ""加筆"", ""匡正""]","[""correction"", ""rectification""]","[""correção"", ""retificação""]","[""correzione"", ""rettifica"", ""rettificazione""]","[""korekcja""]","[""改正"", ""整改"", ""矫正""]","[""koreksi"", ""koreksian"", ""membetuli"", ""pembetulan"", ""ralat""]"
298161,the business of providing services to tourists,"[""tourism"", ""touristry""]","[""turismo""]","[""観光""]","[""tourisme""]","[""turismo""]","[""turismo""]","[""turystyka""]","[""旅游"", ""旅游业"", ""旅行"", ""游览"", ""观光""]","[""kepariwisataan"", ""pariwisata"", ""pelancongan"", ""turisme"", ""wisata""]"
315986,the act of moving something from one location to another,"[""transportation"", ""transport"", ""transfer"", ""transferral"", ""conveyance""]","[""transferencia"", ""transporte""]","[""トランスポート"", ""搬送"", ""移送"", ""輸送"", ""運び""]","[""transport""]","[""transferência"", ""transporte""]","[""trasporto""]","[""przenoszenie""]","[""输送"", ""运输""]","[""pemindahan"", ""pengalihan"", ""pengangkutan"", ""penukaran"", ""pindahan""]"
331950,a change of position that does not entail a change of location,"[""motion"", ""movement"", ""move"", ""motility""]","[""movimiento""]","[""モーション"", ""動き"", ""運動""]","[""mouvement""]","[""mudança""]","[""mossa"", ""movimento""]","[""poruszenie"", ""ruszenie""]","[""动作"", ""移动"", ""行动"", ""运动""]","[""ganjak"", ""garit"", ""gerak"", ""gerakan"", ""pergerakan""]"
334509,motion of hands or body to emphasize or help to express a thought or feeling,"[""gesture""]","[""ademán"", ""gesto""]","[""ジェスチャー"", ""ジェスチュア"", ""ゼスチャー"", ""ゼスチュア"", ""仕形""]","[""geste""]","[""gesto"", ""sinal""]","[""atto"", ""gesto"", ""moto""]","[""gest""]","[""姿势"", ""手势""]","[""isyarat"", ""kial""]"
351638,the act of decreasing or reducing something,"[""decrease"", ""diminution"", ""reduction"", ""step-down""]","[""disminución"", ""merma"", ""reducción""]","[""損減"", ""減少"", ""減損"", ""減段"", ""縮減""]","[""abaissement"", ""diminution"", ""réduction""]","[""diminuição"", ""redução""]","[""abbassamento"", ""aguzzamento"", ""assottigliamento"", ""attenuazione"", ""calo""]","[""malenie"", ""pomniejszanie_się"", ""zmniejszanie_się""]","[""减少"", ""缩减"", ""缩小"", ""降低""]","[""cengkelong"", ""cengkolong"", ""pemotongan"", ""pengecilan"", ""pengurangan""]"
365709,the act of increasing (something) in size or volume or quantity or scope,"[""expansion"", ""enlargement""]","[""ampliación"", ""expansión""]","[""伸展"", ""伸張"", ""伸暢"", ""伸長"", ""増大""]","[""accroissement"", ""expansion"", ""grandir"", ""élargissement""]","[""ampliação"", ""aumento"", ""expansão""]","[""allargamento"", ""allargatura"", ""ampliamento"", ""espandimento"", ""espansione""]","[""powiększenie""]","[""展开"", ""扩大"", ""扩展"", ""扩张"", ""膨胀""]","[""pelebaran"", ""peluasan"", ""pembesaran"", ""pengembangan"", ""perkembangan""]"
372607,depositing in a warehouse,"[""repositing"", ""reposition"", ""storage"", ""warehousing""]","[""almacenaje"", ""almacenamiento"", ""depósito"", ""reposición""]","[""保管"", ""倉入れ"", ""備蓄"", ""入庫"", ""庫入れ""]","[""entreposage"", ""stockage""]","[""armazenamento"", ""depósito""]","[""immagazzinaggio"", ""immagazzinamento""]","[""gromadzenie"", ""zbieranie""]","[""仓库存储"", ""储藏"", ""贮藏""]","[""gudang"", ""penggudangan"", ""penyimpanan"", ""pergudangan""]"
410247,a customary way of operation or behavior,"[""practice"", ""pattern""]","[""costumbre"", ""hábito"", ""práctica""]","[""お定まり"", ""お定り"", ""パタン"", ""パターン"", ""俗""]","[""pratique""]","[""costume"", ""hábito""]","[""abitudine"", ""modello"", ""pratica"", ""schema""]","[""praktyka""]","[""惯例"", ""模式""]","[""amalan"", ""corak"", ""kebiasaan"", ""kelaziman"", ""pola""]"
419908,cruel or inhumane treatment,"[""maltreatment"", ""ill-treatment"", ""ill-usage"", ""abuse""]","[""abuso"", ""malos_tratos"", ""maltrato"", ""uso_indebido""]","[""虐待"", ""虐遇""]","[""abus"", ""maltraitance""]","[""abuso"", ""injúria""]","[""maltrattamento""]","[""maltretowanie"", ""męczenie"", ""pastwienie_się"", ""znęcanie_się""]","[""侮辱"", ""滥用"", ""苛待"", ""虐待"", ""辱骂""]","[""dera"", ""menganiaya"", ""penganiayaan"", ""penyalahgunaan"", ""siksa""]"
426928,an activity that diverts or amuses or stimulates,"[""diversion"", ""recreation""]","[""diversión"", ""entretenimiento"", ""recreación""]","[""お慰み"", ""リクリエーション"", ""レクリェーション"", ""レクリエイション"", ""レクリエーション""]","[""amusement"", ""loisir"", ""récréation""]","[""diversão"", ""recreaçao""]","[""diporto"", ""distrazione"", ""diversivo"", ""divertimento""]","[""rekreacja""]","[""休养"", ""娱乐"", ""娱乐活动"", ""消遣""]","[""hiburan"", ""rehat"", ""rekreasi"", ""riadah""]"
506658,the act of gambling,"[""bet"", ""wager""]","[""apuesta"", ""partida""]","[""賭"", ""賭け""]","[""pari"", ""parier""]","[""aposta""]","[""giocata""]","[""zakład""]","[""打赌"", ""赌注""]","[""judi"", ""pertaruhan"", ""taruhan""]"
523513,an active diversion requiring physical exertion and competition,"[""sport"", ""athletics""]","[""deporte""]","[""スポーツ"", ""運動"", ""運動競技""]","[""sport""]","[""esporte""]","[""sport""]","[""sport""]","[""体育"", ""竞技"", ""运动""]","[""atletik"", ""olahraga"", ""sport"", ""sukan""]"
550771,the act of presenting a play or a piece of music or other entertainment,"[""performance""]","[""actuación"", ""interpretación""]","[""パフォーマンス"", ""パーフォーマンス"", ""プレイ"", ""プレー"", ""演奏""]","[""performance""]","[""apresentação"", ""interpretação""]","[""esecuzione"", ""performance"", ""rappresentazione""]","[""produkcja"", ""występ""]","[""演奏""]","[""pementasan"", ""persembahan"", ""pertunjukan""]"
582388,the principal activity in your life that you do to earn money,"[""occupation"", ""business"", ""job"", ""line_of_work"", ""line""]","[""ocupación""]","[""仕事"", ""稼業"", ""職"", ""職業""]","[""emploi"", ""fonction"", ""job"", ""métier"", ""occupation""]","[""emprego"", ""função"", ""lugar"", ""ocupação"", ""ofício""]","[""attività"", ""impiego"", ""lavoro"", ""mestiere"", ""occupazione""]","[""praca"", ""robota"", ""zatrudnienie""]","[""岗位"", ""工作"", ""职业"", ""职务"", ""行业""]","[""bidang"", ""bisnis"", ""jawatan"", ""kegiatan"", ""kerja""]"
606370,the skilled practice of a practical occupation,"[""trade"", ""craft""]","[""oficio"", ""profesión""]","[""技能"", ""業"", ""生業"", ""稼業"", ""職業""]","[""commerce"", ""métier""]","[""arte"", ""ofício"", ""profissão""]","[""arte"", ""commercio"", ""mestiere"", ""professione""]","[""majsterstwo"", ""rzemieślnictwo"", ""rzemiosło""]","[""职业""]","[""kemahiran"", ""niaga"", ""pekerjaan"", ""perdagangan"", ""pertukangan""]"
609953,an occupation requiring special education (especially in the liberal arts or sciences),"[""profession""]","[""profesión""]","[""専門"", ""専門職""]","[""métier"", ""profession""]","[""profissão""]","[""professione""]","[""fach"", ""profesja"", ""zawód""]","[""职业"", ""行业""]","[""kemahiran"", ""pekerjaan"", ""pertukangan"", ""profesi"", ""profesional""]"
620752,productive work (especially physical work done for wages),"[""labor"", ""labour"", ""toil""]","[""faena"", ""labor"", ""trabajo""]","[""労働"", ""労役"", ""肉体労働""]","[""labeur"", ""travail""]","[""mão-de-obra"", ""trabalho""]","[""fatica"", ""lavoro""]","[""robocizna""]","[""劳动"", ""劳工"", ""工作""]","[""bausuku"", ""buruh"", ""kerja"", ""pekerjaan"", ""perburuhan""]"
639556,the act of conducting a controlled test or investigation,"[""experiment"", ""experimentation""]","[""experimentación"", ""experimento""]","[""実験""]","[""expérience"", ""expérimentation""]","[""experimento"", ""experiência""]","[""esperimento""]","[""doświadczenie"", ""eksperyment"", ""test""]","[""实验"", ""试验""]","[""eksperimen"", ""ujian""]"
654885,the work of providing treatment for or attending to someone or something,"[""care"", ""attention"", ""aid"", ""tending""]","[""atención"", ""ayuda"", ""cuidado"", ""cuidados""]","[""お守り"", ""ご念"", ""めんどう"", ""ケア"", ""ケアー""]","[""aide"", ""attention"", ""soin""]","[""assintência"", ""cuidado""]","[""assistenza"", ""cura""]","[""opieka"", ""piecza""]","[""援助"", ""注意""]","[""bantuan"", ""heran"", ""jaga"", ""kepedulian"", ""layanan""]"
661091,(medicine) the act of caring for someone (as by medication or remedial training etc.),"[""therapy""]","[""terapia"", ""tratamiento""]","[""セラピー"", ""治療"", ""療治""]","[""thérapeutique"", ""thérapie""]","[""Terapias"", ""terapia""]","[""terapia""]","[""kuracja"", ""terapia""]","[""治疗"", ""疗法""]","[""terapi""]"
671351,a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body,"[""operation"", ""surgery"", ""surgical_operation"", ""surgical_procedure"", ""surgical_process""]","[""intervención"", ""operación""]","[""オペ"", ""オペレーション"", ""切開手術"", ""執刀"", ""外科手術""]","[""chirurgie"", ""opération""]","[""Cirurgia"", ""cirurgia"", ""operação"", ""operação_cirúrgica""]","[""intervento"", ""intervento_chirurgico"", ""operazione"", ""operazione_chirurgica""]","[""operacja""]","[""外科手术"", ""手术""]","[""operasi"", ""pembedahan""]"
697365,the act of putting a liquid into the body by means of a syringe,"[""injection"", ""shot""]","[""inyección""]","[""インジェクション"", ""注射""]","[""injection"", ""piqûre""]","[""injeção""]","[""iniezione"", ""puntura""]","[""iniekcja"", ""zastrzyk""]","[""注射""]","[""injeksi"", ""penyuntikan"", ""suntikan""]"
719494,work that you are obliged to perform for moral or legal reasons,"[""duty""]","[""deber""]","[""お役"", ""お役目"", ""努め"", ""務"", ""務め""]","[""devoir"", ""obligation"", ""service""]","[""dever"", ""obrigação""]","[""dovere"", ""servizio""]","[""obowiązek""]","[""义务"", ""责任""]","[""darma"", ""kerja"", ""kewajiban"", ""pekerjaan"", ""tugas""]"
757080,an act that is regarded by theologians as a transgression of God's will,"[""sin"", ""sinning""]","[""pecado""]","[""不善"", ""不浄"", ""罪"", ""罪咎"", ""罪悪""]","[""pécher"", ""péché""]","[""pecado""]","[""colpa"", ""errore"", ""male"", ""peccato"", ""vizio""]","[""grzech"", ""przewina""]","[""犯罪"", ""罪"", ""过失""]","[""dosa""]"
766234,(criminal law) an act punishable by law; usually considered an evil act,"[""crime"", ""offense"", ""criminal_offense"", ""criminal_offence"", ""offence""]","[""crimen"", ""delito""]","[""不法行為"", ""事犯"", ""兇行"", ""凶行"", ""刑事犯""]","[""crime"", ""délit""]","[""crime""]","[""crimine"", ""delitto"", ""fattaccio"", ""illecito"", ""misfatto""]","[""przestępstwo_kryminalne""]","[""刑事犯罪"", ""犯罪"", ""罪"", ""罪行""]","[""jenayah"", ""keganasan"", ""kejahatan"", ""kesalahan"", ""kriminalitas""]"
780889,the act of taking something from someone unlawfully,"[""larceny"", ""theft"", ""thievery"", ""thieving"", ""stealing""]","[""desvalijamiento"", ""hurto"", ""latrocinio"", ""robo"", ""substracción""]","[""偸盗"", ""失敬"", ""掠奪"", ""横取り"", ""横奪""]","[""vol""]","[""furto"", ""roubo""]","[""furto"", ""ladreria"", ""ladrocinio"", ""ladroneccio"", ""latrocinio""]","[""przywłaszczenie""]","[""偷窃"", ""偷窃的行为"", ""盗窃"", ""盗窃罪"", ""赃物""]","[""kebongkaran"", ""kecurian"", ""pencurian"", ""penyerobotan""]"
786195,earnest and conscientious activity intended to do or accomplish something,"[""attempt"", ""effort"", ""endeavor"", ""endeavour"", ""try""]","[""intento"", ""tentativa""]","[""トライ"", ""企て"", ""努力"", ""労苦"", ""取り組み""]","[""essai""]","[""esforço"", ""tentativa""]","[""fatica"", ""impresa"", ""prova"", ""sforzo"", ""tentativo""]","[""próba"", ""usiłowanie""]","[""力图"", ""努力"", ""尝试"", ""尽力""]","[""anju"", ""coba"", ""daya_upaya"", ""ikhtiar"", ""percobaan""]"
795720,any piece of work that is undertaken or attempted,"[""undertaking"", ""project"", ""task"", ""labor""]","[""proyecto"", ""tarea""]","[""タスク"", ""プロジェクト"", ""事業"", ""任"", ""任務""]","[""entreprise"", ""projet""]","[""projeto""]","[""compito"", ""faccenda"", ""incarico"", ""incombente"", ""incombenza""]","[""przedsięwzięcie""]","[""事业"", ""任务"", ""工作"", ""方案"", ""计划""]","[""kerja"", ""pekerjaan"", ""perusahaan"", ""rancangan"", ""tugas""]"
796315,a wild and exciting undertaking (not necessarily lawful),"[""adventure"", ""escapade"", ""risky_venture"", ""dangerous_undertaking""]","[""aventura"", ""aventura_riesgosa"", ""empresa_peligrosa"", ""escapada""]","[""アドベンチャー"", ""アドベンチュア"", ""アドヴェンチャー"", ""冒険""]","[""aventure"", ""escapade""]","[""aventura""]","[""avventura""]","[""przygoda""]","[""冒险越轨行为"", ""危险事业"", ""大胆的冒险""]","[""avontur"", ""kembara"", ""kenakalan"", ""pengembaraan"", ""peristiwa""]"
798245,a series of actions advancing a principle or tending toward a particular end,"[""campaign"", ""cause"", ""crusade"", ""drive"", ""movement""]","[""campaña"", ""movimiento""]","[""カンパ"", ""キャンペーン"", ""ムーブメント"", ""ムーヴメント"", ""社会的運動""]","[""campagne"", ""cause"", ""effort"", ""mouvement""]","[""campanha"", ""causa""]","[""campagna"", ""causa"", ""crociata""]","[""krucjata""]","[""活动"", ""运动"", ""运动计划""]","[""daya_upaya"", ""gerakan"", ""kampanye"", ""pergerakan"", ""perjuangan""]"
802238,a venture undertaken without regard to possible loss or injury,"[""risk"", ""peril"", ""danger""]","[""amanaza"", ""peligro"", ""riesgo""]","[""おっかなさ"", ""リスク"", ""冒険"", ""危うさ"", ""危なさ""]","[""danger"", ""risque""]","[""perigo"", ""risco""]","[""alea"", ""pericolo"", ""periglio"", ""rischio""]","[""gambit"", ""hazard"", ""ryzyko""]","[""冒险"", ""危险""]","[""bahaya"", ""kerugian"", ""risiko""]"
